scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,747.5806,428.34848,0.83030885,729.44244,425.01105,0.9250642,736.1899,445.68207,0.9091371,737.49603,435.157,1.0
1,741.3504,432.02637,0.9061759,725.2317,430.3649,0.95485675,731.38586,447.5075,0.9466419,732.996,438.59634,1.0
2,736.51373,436.09396,0.8806993,730.0333,435.83746,0.90747035,727.88184,451.06042,0.8801635,728.6874,443.6981,1.0
3,733.919,440.79977,0.76811284,720.0198,437.73145,0.8962887,722.9993,455.8759,0.9227796,724.4654,448.41882,1.0
4,725.9973,444.55106,0.8087617,719.31256,442.88245,0.9064565,719.56067,459.62756,0.8880185,721.404,453.13358,1.0
5,724.7618,449.07825,0.90219295,715.8715,449.25607,0.91877764,718.5147,462.5447,0.86259645,718.424,455.60834,1.0
6,722.45074,453.9503,0.8757148,716.4213,454.1077,0.9544398,715.94763,467.95468,0.9400154,716.62976,461.41467,1.0
7,722.8356,457.33972,0.70912147,713.1678,458.17148,0.95245767,716.1356,473.10864,0.96585906,716.42957,465.86218,1.0
8,720.7851,464.5213,0.88229895,713.765,465.47845,0.9201695,714.543,477.69476,0.77854514,715.4919,471.66428,1.0
9,722.0088,470.19415,0.90492356,706.8925,469.4366,0.9378935,712.97205,486.59537,0.86792827,713.7806,477.533,1.0
10,719.3828,476.1932,0.7402762,705.86957,475.02136,0.9202068,711.303,493.5801,0.78175867,711.862,485.0574,1.0
11,719.2975,484.96777,0.8892944,703.4531,485.0843,0.90161794,710.2565,501.20984,0.896767,710.02594,493.25415,1.0
12,717.9706,491.56152,0.7266362,702.98804,491.38824,0.8476336,709.7386,509.92355,0.816758,710.19116,499.9792,1.0
13,718.2518,500.54428,0.839441,702.89874,500.52225,0.8951479,709.3701,516.7594,0.90931237,709.3602,508.55466,1.0
14,717.6821,508.9656,0.8170081,699.8366,505.64752,0.8920989,707.574,527.0224,0.9111836,708.47034,515.2069,1.0
15,716.05817,516.54834,0.8899068,698.97125,514.39514,0.9616404,705.42163,531.9986,0.9279342,706.5141,522.27,1.0
16,715.3177,522.88794,0.913081,695.80237,519.4281,1.0,703.02795,540.6042,0.99740696,704.4269,528.00543,1.0
