scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,812.51904,877.05023,0.8182495,795.66205,871.1818,0.8790182,798.85736,888.92944,0.93253696,801.79297,880.235,1.0
1,812.2738,877.6841,0.81525546,798.6789,871.21216,0.8712763,798.85474,888.8478,0.9400143,801.7888,880.4819,1.0
2,812.63855,876.8443,0.8184154,796.00226,871.12024,0.8736492,798.88727,888.9954,0.92119867,801.9288,880.06287,1.0
3,812.8089,877.0909,0.81831396,795.9691,871.28107,0.8784129,799.1399,889.1312,0.93408513,802.1601,880.2424,1.0
4,813.3334,877.1719,0.8216073,798.9329,871.2185,0.88750637,800.2398,889.3819,0.96066326,803.0772,880.46094,1.0
5,813.41046,876.3821,0.8140958,800.12976,871.6654,0.89020026,801.1419,889.112,0.98493284,803.6831,880.39716,1.0
6,814.05096,875.87103,0.8120771,799.9353,871.0307,0.89058006,801.2751,888.8854,0.9770508,803.90454,879.8996,1.0
7,813.95197,875.0696,0.8016689,800.65466,870.7989,0.88128614,801.28754,887.7259,1.0,803.88464,879.3013,1.0
8,816.0781,875.3958,0.79333603,800.5151,870.8733,0.890011,802.2307,888.2287,0.9954971,804.7372,879.7012,1.0
9,814.78937,875.4317,0.8078196,799.98474,870.8328,0.90129423,802.6037,889.158,0.9689022,805.08435,880.01447,1.0
10,814.37213,876.11707,0.7993656,800.1321,872.0721,0.8942118,803.6439,890.30676,0.94236773,805.5962,881.0418,1.0
11,816.0908,876.9222,0.8340494,799.66473,872.97516,0.9041595,805.4703,889.8736,0.94230074,806.09875,881.75305,1.0
12,816.0891,877.5803,0.84649175,800.1631,873.91364,0.8963885,805.71655,890.444,0.9483746,806.34467,882.50696,1.0
13,816.2665,876.47845,0.8021498,801.4109,873.0425,0.89504087,805.28845,890.72546,0.9532415,806.6718,881.62067,1.0
14,816.3658,876.29144,0.79369724,801.5858,872.9393,0.89542484,805.4195,890.84393,0.93960387,806.9005,881.6424,1.0
15,816.2512,876.9411,0.78282416,802.616,874.28894,0.88426924,806.1027,891.7321,0.9356094,807.3713,882.5532,1.0
16,818.41986,877.5186,0.8208619,800.8833,875.0129,0.89622104,807.2201,894.22876,0.88544214,808.42474,883.19147,1.0
