scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,814.6172,333.66992,0.81689453,800.4414,344.1836,0.8696289,815.00977,352.14258,0.9658203,811.49414,343.9922,1.0
1,814.4258,333.66797,0.8027344,800.3633,344.23047,0.8647461,815.0625,351.70312,0.9560547,811.41016,343.92773,1.0
2,814.0547,333.37305,0.79785156,800.0742,343.83594,0.89208984,815.0156,351.71094,0.953125,810.99805,343.80078,1.0
3,814.0664,333.01855,0.7998047,800.1797,343.78516,0.8959961,815.28516,351.4375,0.95410156,811.17773,343.58984,1.0
4,814.15625,333.10254,0.7949219,800.1406,343.76758,0.88964844,815.14844,351.5,0.9453125,811.04443,343.53906,1.0
5,814.20703,333.35742,0.7988281,800.16016,343.88086,0.8901367,815.041,351.6836,0.95166016,811.1172,343.6797,1.0
6,814.1719,333.25195,0.8017578,800.1836,343.88867,0.89501953,815.15234,351.72266,0.9609375,811.1421,343.66797,1.0
7,814.77734,333.4668,0.8178711,800.43945,343.42773,0.8798828,815.4512,351.48438,0.96240234,811.77026,343.76367,1.0
8,815.08984,333.44043,0.8222656,800.30664,343.39844,0.8754883,815.36523,351.75,0.95751953,811.6023,343.82422,1.0
9,814.71875,333.42383,0.8120117,800.3125,343.88086,0.8833008,815.24805,351.22266,0.94384766,811.5508,343.61133,1.0
10,814.4961,333.59375,0.796875,800.3594,343.9668,0.8769531,815.0156,350.82812,0.93408203,811.48975,343.70117,1.0
11,814.53906,333.6914,0.77734375,800.1289,343.94922,0.8769531,813.90137,350.96484,0.91015625,810.7842,343.82422,1.0
12,814.1172,333.68652,0.76416016,799.8887,343.97852,0.8754883,813.8623,350.75,0.90283203,810.499,343.85742,1.0
13,814.46484,334.01172,0.76171875,799.5488,343.95312,0.8769531,812.5796,351.44922,0.89697266,809.50977,343.14453,0.9692383
14,814.60547,334.18555,0.7636719,799.59766,344.23047,0.86083984,812.74365,351.79688,0.8876953,809.66016,343.28125,0.9667969
15,814.29297,334.27148,0.75,799.83203,344.35938,0.84375,812.9756,351.46094,0.88720703,809.77734,343.2578,0.9770508
16,813.95703,334.08398,0.7416992,799.9199,344.22656,0.85009766,813.18945,351.05078,0.88623047,809.81836,343.08203,0.97802734
