scorer,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150,DLC_Resnet50_Ach free movingJun21shuffle2_snapshot_best-150
bodyparts,ear_l,ear_l,ear_l,ear_r,ear_r,ear_r,nouse,nouse,nouse,implant,implant,implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,242.26074,511.22656,0.92333984,222.20312,509.76562,0.9140625,233.09375,533.63477,1.0,232.625,515.4204,0.94921875
1,242.8584,521.3242,0.95947266,223.01953,521.7793,0.9165039,233.32031,544.0078,1.0,234.70996,527.3164,0.92333984
2,244.3147,531.699,1.0,225.54102,532.98926,0.9946289,235.49805,554.2949,0.99902344,235.91559,536.8711,1.0
3,246.82031,539.2925,0.94921875,225.35742,539.0742,1.0,236.38379,561.66016,1.0,237.27246,544.5918,0.98339844
4,247.2539,548.0707,0.9584961,227.0498,548.1404,0.9916992,235.76184,570.73535,0.9848633,238.11523,553.12695,0.9604492
5,247.3164,557.55273,0.8886719,227.59717,557.6553,0.95751953,237.07422,581.3906,1.0,238.64062,563.1035,0.94433594
6,245.43262,571.23047,0.9638672,225.02148,569.73047,0.9614258,234.39551,593.30273,1.0,236.50098,575.65625,0.9042969
7,244.38159,583.8711,0.9238281,226.10352,583.7578,0.95166016,234.89844,605.5254,1.0,235.76624,588.6343,0.93408203
8,245.14062,596.9546,0.94628906,226.85645,596.7041,0.9584961,235.29932,618.3633,0.9526367,236.4497,601.875,1.0
9,245.45703,608.5039,0.8808594,225.14648,607.50586,0.92871094,236.20044,627.3867,1.0,235.79126,613.0469,1.0
10,244.00876,617.5996,0.9042969,224.75,617.1172,0.90185547,231.83203,639.8613,0.8989258,234.30469,622.1406,0.85009766
11,243.21436,628.32153,0.93115234,224.76562,625.0,0.9111328,231.58398,648.5703,0.9550781,233.37305,631.9883,0.9916992
12,243.7268,637.38965,0.9550781,222.38281,633.1914,0.85791016,230.00977,658.3203,1.0,233.54492,640.25977,0.87841797
13,242.4043,645.10645,0.95947266,222.54883,641.8926,0.96435547,229.25879,666.91895,0.97509766,232.98047,647.7461,0.9794922
14,241.98242,650.30664,0.98876953,219.62646,646.76953,1.0,226.71094,673.1543,1.0,231.15039,653.6631,0.9350586
15,241.41992,655.44727,0.95703125,219.18018,650.2549,0.9555664,226.31836,677.26465,1.0,231.1914,657.5156,0.9814453
16,240.29883,659.6875,0.9453125,219.63843,655.83984,0.984375,227.17041,680.9922,0.9868164,231.40234,663.18555,1.0
